Sound ID,Sound Rank,Loudness,Sharpness,Roughness,Prominence Ratio,Loudness [sones],Sharpness [acum],Roughness [asper],Prominence Ratio [PR],Q1,Q2,Q3,Q4,Loudness Norm,Sharpness Norm,Roughness Norm,Prom Ratio Norm,Q1 Norm,Q2 Norm,Q3 Norm,Q4 Norm,Q1 Ave,Q2 Ave,Q3 Ave,Q4 Ave,Q1 Norm Ave,Q2 Norm Ave,Q3 Norm Ave,Q4 Norm Ave
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,3,4.5,40,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,-0.496971952,0.037932813,0.012336296,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,3,4,40,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,-0.496971952,-0.262808306,0.012336296,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5.1,5.1,4,48,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.280526985,0.635135238,-0.262808306,0.298772363,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6,7,4.1,10,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.785614957,1.659422696,-0.202660082,-1.061798953,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,4,4.5,3,50,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.336802758,0.311676041,-0.864290544,0.370381379,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,3.5,3,3,60,-1.204057561,-1.155001925,0.623479632,-0.980716256,-0.617407187,-0.496971952,-0.864290544,0.728426462,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.1,1.8,5.7,7,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.841735843,-1.143890347,0.759711499,-1.169212478,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,7,1,7,,-1.204057561,-1.155001925,0.623479632,-0.980716256,1.346823815,-1.575169277,1.541638409,-1.419844036,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,5,4,3.8,38,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.224406099,0.04212671,-0.383104753,-0.05927272,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
X,10.X,-1,-1,1,-1,23.14,1.2,0.19,2.63,6.1,1.9,5.6,40,-1.204057561,-1.155001925,0.623479632,-0.980716256,0.841735843,-1.089980481,0.699563276,0.012336296,4.948550725,3.477165354,4.731386861,34.49612403,0.175552666,-0.401563124,0.136160488,-0.273584597
